Ticker,Headlines,Sharpe_Ratio,Sentiment_Score,Overall_Score
MMM,"Earnings week ahead: TSLA, KO, T, INTC, NFLX, VZ, F, GM, AAL, LUV, PG, GE, MMM, CLF, AGNC, and more - Seeking Alpha | A Fresh Look at 3M (MMM) Valuation Following Recent Share Price Pullback - Yahoo Finance | How Will 3M Stock React To Its Upcoming Earnings? - Trefis",0.116,0.0,0.0696
AOS,AOS or KNYJY: Which Is the Better Value Stock Right Now? - Nasdaq | Why A.O. Smith (AOS) is a Top Dividend Stock for Your Portfolio - Yahoo Finance | A. O. Smith (NYSE:AOS) Has Announced That It Will Be Increasing Its Dividend To $0.36 - simplywall.st,0.075,0.7,0.32499999999999996
ABT,"S&P Health Giant Skids On Mixed Third-Quarter News - Investor's Business Daily | Abbott revenue misses as diagnostics, nutrition weakness clouds medical devices lift - Reuters | Abbott Stock Drops Despite Earnings. Baby-Formula Sales Took a Hit. - Barron's",0.006,-0.7,-0.2764
ABBV,Leerink Raises AbbVie (ABBV) Price Target on Strong Business Performance - Yahoo Finance | AbbVie (ABBV) Stock Falls Amid Market Uptick: What Investors Need to Know - Nasdaq | Can ABBV stock test all time highs - 2025 Bull vs Bear & Safe Capital Growth Stock Tips - nchmf.gov.vn,0.186,0.2,0.1916
ACN,"Accenture PLC $ACN Stock Position Decreased by Northeast Investment Management - MarketBeat | Accenture (ACN) Stock Trades Down, Here Is Why - Yahoo Finance | Will ACN stock outperform energy sector in 2025 - July 2025 Patterns & Low Risk High Win Rate Stock Picks - nchmf.gov.vn",-0.065,-0.5,-0.23900000000000002
ADBE,"Adobe: The Market Is Misunderstanding The Company - Seeking Alpha | Adobe stock hits 52-week low at $329.82 amid challenging year - Investing.com | Adobe Drops 10% in a Month: Buy, Sell or Hold ADBE Stock? - Zacks Investment Research",-0.007,-0.5,-0.20420000000000002
AMD,"AMD Stock Has Ample Room to Rise, Say Analysts. Thank Oracle and Meta. - Barron's | Intel, AMD Equity Giveaways Send Stocks Soaring Despite Dilution - Bloomberg.com | AMD and this trucking stock are among the most overbought names on Wall Street - CNBC",0.289,0.2,0.25339999999999996
AES,AES (AES): Evaluating Valuation After a 17% Monthly Share Price Rally - Yahoo Finance | AES Corp.: Be Mindful Of Chasing The Stock After The Takeover News (NYSE:AES) - Seeking Alpha | Why AES Stock Is Soaring Today - The Motley Fool,0.121,0.3,0.1926
AFL,Those who invested in Aflac (NYSE:AFL) five years ago are up 220% - Yahoo | VIRGINIA RETIREMENT SYSTEMS ET Al Acquires New Shares in Aflac Incorporated $AFL - MarketBeat | Can AFL stock retain market dominance - 2025 Big Picture & Fast Momentum Entry Tips - nchmf.gov.vn,0.033,1.0,0.4198
A,A Stock Trader’s Guide to Navigating China’s Curb on Rare Earths - Bloomberg.com | Why the world’s $3trn ‘shadow’ debt caused a stock market wobble - The Times | There’s one key piece of chart evidence missing to call for a stock-market correction - MarketWatch,0.152,-0.5,-0.10880000000000002
APD,"At US$267, Is It Time To Put Air Products and Chemicals, Inc. (NYSE:APD) On Your Watch List? - Yahoo Finance | Will APD stock announce a stock split - July 2025 Fed Impact & Long-Term Safe Investment Plans - nchmf.gov.vn | Air Products & Chemicals: Snap Up This Dividend Aristocrat Deal Now (NYSE:APD) - Seeking Alpha",0.004,0.5,0.20240000000000002
ABNB,"Real time breakdown of ABNB stock performance - Quarterly Profit Report & Free Safe Capital Growth Stock Tips - newser.com | 5,111 Shares in Airbnb, Inc. $ABNB Acquired by Crux Wealth Advisors - MarketBeat | 1 Unstoppable Stock Down 43% to Buy Hand Over Fist, According to Wall Street - The Motley Fool",0.065,0.2,0.11900000000000002
AKAM,"Is AKAM stock a safe investment in uncertain markets - July 2025 WrapUp & Smart Money Movement Tracker - nchmf.gov.vn | Can AKAM stock surprise with earnings upside - Volume Spike & Daily Volume Surge Signals - newser.com | 712,400 Shares in Akamai Technologies, Inc. $AKAM Purchased by VIRGINIA RETIREMENT SYSTEMS ET Al - MarketBeat",0.016,0.5,0.2096
ALB,Albemarle (ALB) Stock Drops Despite Market Gains: Important Facts to Note - Yahoo Finance | Is Allgäuer Brauhaus AG (ALB) stock undervalued by metrics - Analyst Upgrade & Weekly Hot Stock Watchlists - newser.com | Is ALB stock vulnerable to rate hikes - Quarterly Profit Review & Capital Protection Trading Alerts - nchmf.gov.vn,0.143,-0.3,-0.03420000000000001
ARE,Is a Market Correction Coming? - U.S. Bank | Stock Market Today: Stock Market News And Analysis - Investor's Business Daily | Bank shares lead global market fall amid jitters over US private credit - The Guardian,0.02,-0.5,-0.188
ALGN,Align Technology (ALGN): Exploring Current Valuation After Prolonged Share Price Weakness - Yahoo Finance | Why ALGN stock could outperform in 2025 - Earnings Growth Summary & Low Risk Entry Point Tips - nchmf.gov.vn | Align Technology (ALGN): Is the Stock Undervalued After Analyst Concerns and Business Challenges? - simplywall.st,-0.038,0.1,0.01720000000000001
ALLE,How ALLE stock reacts to inflationary pressures - Weekly Profit Analysis & Reliable Entry Point Trade Alerts - newser.com | Is ALLE stock gaining market share - July 2025 Intraday Action & Stepwise Trade Execution Plans - nchmf.gov.vn | Why Allegion (ALLE) is Poised to Beat Earnings Estimates Again - Yahoo Finance,0.225,1.0,0.535
LNT,"Bank of America Issues Positive Forecast for Alliant Energy (NASDAQ:LNT) Stock Price - MarketBeat | Alliant Energy Corporation declares quarterly common stock dividend - Stock Titan | Lobbying Update: $110,000 of ALLIANT ENERGY CORPORATION lobbying was just disclosed - Quiver Quantitative",0.13,1.0,0.47800000000000004
ALL,"Latham & Watkins Advises PotlatchDeltic in All-Stock Merger of Equals With Rayonier - Latham & Watkins LLP | Will TrustCo Bank Corp NY stock reach all time highs in 2025 - Quarterly Trade Review & Low Risk Growth Stock Ideas - nchmf.gov.vn | a16z-backed data firms Fivetran, dbt Labs to merge in all-stock deal - Reuters",0.038,0.2,0.10280000000000002
GOOGL,What Google’s London Driverless Move Means for the Stock After a 7% Weekly Jump - Yahoo Finance | Why Is GOOGL Stock Rising? - Forbes | Alphabet Inc. $GOOGL Stock Holdings Decreased by GFG Capital LLC - MarketBeat,0.262,0.3,0.2772
